# 第一順位：識字,,
尾,お,
乙,おつ,
踵,かかと,
公,おおやけ,
◖檻,おり,
＊枕,まくら,
＊趣,おもむき,
孵る,かえる,
介護,かいご,
お供,おとも,
驕る,おごる,
お産,おさん,
御田,おでん,
赴く,おもむく,
思惑,おもわく,
概説,がいせつ,
街道,かいどう,
該当,がいとう,
沿線,えんせん,
円高,えんだか,
円安,えんやす,
演壇,えんだん,
大方,おおかた,
お酌,おしゃく,
億劫,おっくう,
汚職,おしょく,
概ね,おおむね,
海峡,かいきょう,
横領,おうりょう,
臆病,おくびょう,
親心,おやごころ,
◖往診,おうしん,
◖厳か,おごそか,
◖介抱,かいほう,
◖縁談,えんだん,
＊怠る,おこたる,
～交う,かう,
大まか,おおまか,
大らか,おおらか,
掲げる,かかげる,
お節介,おせっかい,
同い年,おないどし,
海賊版,かいぞくばん,
◖煽てる,おだてる,
◖顔立ち,かおだち,
◖顧みる,かえりみる,
◖省みる,かえりみる,
◖脅かす',おびやかす,
＊衰える,おとろえる,
＊夥しい,おびただしい,
自ずから,おのずから,
お宮入り,おみやいり,
重苦しい,おもくるしい,
思い存分,おもいぞんぶん,
◖覚束ない,おぼつかない,
冒す・侵す・犯す,おかす,
,,
,,
# 第二順位：組合動詞,,
折り＋返す,,
推し＋進める,,
(思い1/2) 思い＋付き,,
(思い2/2) 思い＋やり,,
(押し1/5) 押し＋上げる,,
(押し2/5) 押し＋切る,,
(押し3/5) 押し＋込む,,
(押し4/5) 押し＋出す,,
(押し5/5) 押し＋付ける,,
,,
,,
# 第三順位：No Memories,,
公,「公の場」／「公の発表」／公にする。,public a.
踵,「踵の高い靴」,heel n.
折,折を見て借金の話を切り出す。,opportunity n.
◖檻,「檻の中にいるライオン🦁」,cage n.
親心,親心が感じます。,love and care from parents
驕る,驕るな。,don't be arrogant.
お産,お産をしている。,give birth
円高,円高で輸出企業が苦しんでいる。,strong yen
円安,円安で輸出企業が楽しんでいる。,weak yen
縁談,縁談がまとまる。,marriage proposal n.
往診,往診を頼む。,"house call ""..."""
横領,公金を横領する。,corrupt v. / embezzle v.
大方,「大方の読者」,most a.
厳か,厳かに開会の宣言をする。,solemnly ad.
お酌,客にお酌する。,pour drinks for ...
怠る,仕事を怠る。,negelct one's work
行い,行いを改める。,= 品行
概ね,「事件の概ね」,= 大筋
大筋,「物語の大筋」,summary n.
親方,ー,boss
改悪,ルールを改悪する。,make ... bad
外貨,外貨をチェンジする。,foreign currency
介護,親を介護する。,look after phrv.
回送,手紙を転居先に回送する。,forward v.
介抱,老人を介抱する。,look after phrv.
お供,お供をして、駅まで行く。,accompany v.
◖改修,道路の改修工事が始まる。,reconstruction
◖該当,条件に該当する。,fit with ...
◖思惑,株価が思惑通りになった。,expectation n.
◖億劫,外に出るのが億劫だ。,= 面倒
お節介,「お節介の奴」,nosy a.
煽てる,他人を煽てる。,provoke v.
衰える,視力が衰える。,weaken v.
顔立ち,「顔立ちのよい子」,looking n.
省みる,自分自身を省みる。,reflect on oneself.
顧みる,後ろを顧みる。,backwards
帯びる,使命を帯びる。,take v.
　乙1/2,甲乙つけがたい。,2nd position
◖乙2/2,「乙な味」,= 粋
　趣1/3,「原文の趣」,raw content
◖趣2/3,「異国の趣」,flavor
　趣3/3,ご病気の趣、...,I heard that ...
　大まか,「大まかな人」,generous a.; careless a.
◖大らか,「大らかな人」,generous a.
◖夥しい,「夥しい人出」,numerous a.
◖おむつ,「紙おむつ」,diapers n.
お手上げ,もうお手上げだ。,at my wit's end
お宮入り,「お宮入りの殺人事件」,= 手がかりがない
自ずから,道は自ずから開けてくる。,= 自然に
◖おどおど,「おどおどした目付き」,= まごまご
◖おべっか,おべっかを使う。,To flatter.
◖覚束ない,覚束ない記憶を辿る。,dim a. / vague a.
◖思い付き,なかなかいい思い付きだ。,idea n.
◖思いやり,「思いやりのある人」,compassion n.
◖思わしい,「思わしい仕事」,ideal a.
◖おろそか,仕事をおろそかにする。,negelct one's work
おかみさん,ー,landlady n.
　掲げる1/2,プラカードを掲げる。,hold up phrv.
＊掲げる2/2,方針を掲げる。,initiate v.
◖おっかない,「おっかない顔」,scary a.
◖押し切る1/2,段ボールを押し切る。,cut v.
＊押し切る2/2,反対を押し切る。,override v.
◖押し込む1/2,三人組が押し込んできた。,break into phrv.
　押し込む2/2,乗客を無理に押し込む。,push ... into ... v.
◖押し出す1/2,歯磨きを押し出す。,push ... out v.
＊押し出す2/2,全員が押し出した。,stampede v.
＊＊＊みだりに,みだりに口出しするものではない。,"without reasons (ad.), = 無差別"
◖押し上げる1/2,船を岸へ押し上げる。,push v.
◖押し上げる2/2,社長に押し上げる。,promote v.
押し付けがましい,「押し付けがましい言い方」,pushy a.
　＊押し付ける1/2,枕に顔を押し付けて泣く。,press into
＊＊押し付ける2/2,自分の意見を他人に押し付ける。,force opinion on others.
折り返し / 返す 1/2,「折り返しのところ」／袖を折り返す。,= 折り畳む
折り返し / 返す 2/2,「折り返し地点」／「折り返し運転」,turn back
◖おっちょこちょい,ー,careless a.
,,
,,
# 第四順位：Some Memories,,
応急,「応急処置」,
旺盛,「旺盛な知識欲」,
温和,「温和な気候」,
